Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,PSCP of 4Mbps -PSCP of 0Mbps,PSCP of 4Mbps - PSCP of 0Mbps,,CPU of 4Mbps:(all)72.26%,CPU with 4Mbps,CPU with 0Mbps (all)176.21%,CPU of 0Mbps,CPU1-CPU2
33.13%,22.33%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,,10.80%,,,141.55%,46.90%,67.23%,15.01%,31.88%
3.75%,2.10%,nr-softmodem,librfsimulator.so,tx_rf,PHY,LOW PHY,,1.65%,,,141.55%,5.31%,67.23%,1.41%,3.90%
3.70%,2.30%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,,1.40%,,,141.55%,5.24%,67.23%,1.55%,3.69%
3.17%,2.82%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,0.35%,,,141.55%,4.49%,67.23%,1.90%,2.59%
3.11%,3.10%,feptx,libdfts.so,idft64,PHY,LOW PHY,DFT,0.01%,,,141.55%,4.40%,67.23%,2.08%,2.32%
2.70%,2.32%,feptx,libdfts.so,idft256,PHY,LOW PHY,DFT,0.38%,,,141.55%,3.82%,67.23%,1.56%,2.26%
2.70%,1.74%,feptx,libdfts.so,idft2048,PHY,LOW PHY,DFT,0.96%,,,141.55%,3.82%,67.23%,1.17%,2.65%
2.54%,2.32%,feptx,libdfts.so,idft1024,PHY,LOW PHY,DFT,0.22%,,,141.55%,3.60%,67.23%,1.56%,2.04%
1.69%,1.34%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,,0.35%,,,141.55%,2.39%,67.23%,0.90%,1.49%
1.20%,0.58%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,0.62%,,,141.55%,1.70%,67.23%,0.39%,1.31%
1.18%,0.41%,feprx,libdfts.so,dft64,PHY,LOW PHY,DFT,0.77%,,,141.55%,1.67%,67.23%,0.28%,1.39%
1.16%,1.48%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.32%,,141.55%,1.64%,67.23%,1.00%,0.65%
1.08%,1.09%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.01%,,141.55%,1.53%,67.23%,0.73%,0.80%
1.03%,1.04%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.01%,,141.55%,1.46%,67.23%,0.70%,0.76%
