Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
31.08%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,
3.70%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,
3.31%,feptx,libdfts.so,idft2048,PHY,LOW PHY,
3.09%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
3.01%,feptx,libdfts.so,idft64,PHY,LOW PHY,
2.85%,feptx,libdfts.so,idft256,PHY,LOW PHY,
2.06%,feptx,libdfts.so,idft1024,PHY,LOW PHY,
1.67%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,
1.60%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.16%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.10%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.03%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.92%,feprx,libdfts.so,dft1024,PHY,LOW PHY,
0.80%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,
0.79%,feprx,libdfts.so,dft64,PHY,LOW PHY,
0.75%,Tpool2_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC
0.53%,thread_FH,libdfts.so,dft1024,PHY,LOW PHY,
0.51%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,
0.49%,feprx,libdfts.so,dft256,PHY,LOW PHY,
0.48%,Tpool0_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC
0.47%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,
0.43%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,
0.41%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.41%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.38%,Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.36%,thread_FH,[kernel.kallsyms],skb_release_data,PHY,LOW PHY,
0.36%,thread_FH,[kernel.kallsyms],copy_page_to_iter,PHY,LOW PHY,
0.35%,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.35%,feprx,libdfts.so,dft2048,PHY,LOW PHY,
0.30%,TASK_GNB_APP,[kernel.kallsyms],jbd2_journal_stop,SL,,
0.26%,Tpool0_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.25%,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.25%,Tpool1_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
0.25%,RLC,queue,[k],RLC,,
0.24%,feprx,[kernel.kallsyms],enqueue_task_rt,PHY,LOW PHY,
0.24%,Tpool3_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC
0.23%,TASK_GTPV1_U,[kernel.kallsyms],__x86_indirect_thunk_rbx,NG,,
0.23%,TASK_GNB_APP,libc-2.27.so,usleep,SL,,
0.23%,thread_FH,[kernel.kallsyms],skb_copy_datagram_iter,PHY,LOW PHY,
0.22%,TASK_GTPV1_U,libc-2.27.so,__snprintf,NG,,
0.21%,Tpool0_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.21%,Tpool2_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,
0.21%,Tpool0_-1,nr-softmodem,polar_encoder_fast,PHY,HIGH PHY,
0.21%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],n_tty_write,NG,,
0.20%,Tpool1_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.19%,Tpool3_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.19%,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.19%,Tpool1_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC
0.19%,thread_FH,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.18%,thread_FH,[kernel.kallsyms],SYSC_recvfrom,PHY,LOW PHY,
0.17%,thread_FH,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,
0.17%,thread_FH,[kernel.kallsyms],tcp_recvmsg,PHY,LOW PHY,
0.16%,thread_FH,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,
0.16%,TASK_GNB_APP,libc-2.27.so,__GI___printf_fp_l,SL,,
0.16%,thread_FH,[kernel.kallsyms],irq_work_run_list,PHY,LOW PHY,
0.15%,RLC,queue,[k],RLC,,
0.15%,feptx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.15%,Tpool3_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.15%,feptx,[kernel.kallsyms],futex_wake,PHY,LOW PHY,
0.15%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_lock_irqsave,RRC,,
0.14%,TASK_GTPV1_U,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,NG,,
0.14%,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.14%,Tpool0_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
0.13%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
0.12%,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
0.12%,Tpool0_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.12%,Tpool3_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,
0.12%,Tpool1_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.11%,TASK_GTPV1_U,nr-softmodem,gtpv1uTask,NG,,
0.11%,Tpool3_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.10%,feptx,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,
0.10%,thread_FH,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,
0.10%,TASK_GTPV1_U,libc-2.27.so,vfprintf,NG,,
0.10%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,
0.09%,Tpool0_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
0.09%,pdcp_timer,[kernel.kallsyms],cpupri_set,PDCP,,
0.09%,Tpool2_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.09%,feptx,nr-softmodem,PHY_ofdm_mod.part.0,PHY,LOW PHY,
0.09%,Tpool3_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,
0.09%,Tpool1_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
0.09%,Tpool3_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
0.09%,Tpool2_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.08%,thread_FH,[kernel.kallsyms],sock_rfree,PHY,LOW PHY,
0.08%,Tpool0_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,
0.07%,Tpool1_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,
0.07%,thread_FH,[kernel.kallsyms],swapgs_restore_regs_and_return_to_usermode,PHY,LOW PHY,
0.07%,Tpool2_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,
0.07%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
0.07%,feptx,[kernel.kallsyms],pick_next_task_rt,PHY,LOW PHY,
0.07%,Tpool2_-1,libdfts.so,idft64,PHY,LOW PHY,
0.07%,Tpool2_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
0.07%,Tpool1_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,
0.06%,thread_FH,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,
0.06%,feptx,libdfts.so,idft64@plt,PHY,LOW PHY,
0.06%,thread_FH,[kernel.kallsyms],ep_send_events_proc,PHY,LOW PHY,
0.06%,feptx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,
0.06%,Tpool3_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,
0.06%,thread_FH,[unknown],0xfffffe000009901b,PHY,LOW PHY,
0.06%,Tpool0_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,
0.06%,Tpool3_-1,nr-softmodem,fill_ul_rb_mask,PHY,HIGH PHY,
0.06%,thread_FH,[kernel.kallsyms],__slab_free,PHY,LOW PHY,
0.06%,Tpool2_-1,libdfts.so,idft2048,PHY,LOW PHY,
0.05%,Tpool0_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
0.05%,Tpool3_-1,libdfts.so,idft1024,PHY,LOW PHY,
0.05%,Tpool0_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC
0.05%,Tpool0_-1,libdfts.so,idft64,PHY,LOW PHY,
0.05%,Tpool0_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,
0.05%,Tpool1_-1,nr-softmodem,nr_generate_dci,PHY,HIGH PHY,
0.05%,thread_FH,[kernel.kallsyms],__tcp_transmit_skb,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],mlx4_en_xmit,PHY,LOW PHY,
0.05%,feptx,[kernel.kallsyms],__sched_text_start,PHY,LOW PHY,
0.05%,Tpool3_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,
0.05%,feptx,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,
0.05%,Tpool1_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,
0.05%,Tpool2_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,
0.05%,thread_FH,[kernel.kallsyms],rto_push_irq_work_func,PHY,LOW PHY,
0.05%,Tpool1_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,
0.05%,thread_FH,[kernel.kallsyms],ip_queue_xmit,PHY,LOW PHY,
0.04%,thread_FH,[kernel.kallsyms],switch_to_thread_stack,PHY,LOW PHY,
0.04%,feptx,libpthread-2.27.so,__pthread_mutex_unlock,PHY,LOW PHY,
0.04%,thread_FH,librfsimulator.so,flushInput,PHY,LOW PHY,
0.04%,Tpool3_-1,libdfts.so,idft64,PHY,LOW PHY,
0.04%,thread_FH,[kernel.kallsyms],__kmalloc_node_track_caller,PHY,LOW PHY,
0.04%,thread_FH,[kernel.kallsyms],__fget,PHY,LOW PHY,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,
0.04%,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC
0.04%,feptx,libdfts.so,idft,PHY,LOW PHY,
0.04%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock_irqsave,NG,,
0.04%,Tpool1_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC
0.04%,TASK_RRC_GNB,[kernel.kallsyms],do_syscall_64,RRC,,
0.04%,feprx,nr-softmodem,nr_slot_fep_ul,PHY,LOW PHY,
0.04%,feptx,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,
0.04%,Tpool3_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,
0.04%,Tpool3_-1,nr-softmodem,nr_generate_dci,PHY,HIGH PHY,
0.04%,thread_FH,nr-softmodem,nr_fep0,PHY,LOW PHY,
0.04%,Tpool1_-1,nr-softmodem,allowed_xlsch_re_in_dmrs_symbol,PHY,HIGH PHY,
0.04%,Tpool3_-1,nr-softmodem,crc24b,PHY,HIGH PHY,
0.04%,Tpool2_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC
0.03%,thread_FH,[kernel.kallsyms],rb_erase_cached,PHY,LOW PHY,
0.03%,RLC,queue,[.],RLC,,
0.03%,feprx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.03%,Tpool1_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
0.03%,Tpool2_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC
0.03%,Tpool2_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,
0.03%,RLC,queue,[.],RLC,,
0.03%,thread_FH,[kernel.kallsyms],tcp_rcv_established,PHY,LOW PHY,
0.03%,Tpool1_-1,libdfts.so,idft64,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],__iowrite64_copy,PHY,LOW PHY,
0.03%,thread_FH,libpthread-2.27.so,__libc_recv,PHY,LOW PHY,
0.03%,Tpool1_-1,libdfts.so,idft256,PHY,LOW PHY,
0.03%,feptx,[kernel.kallsyms],futex_wait,PHY,LOW PHY,
0.03%,Tpool1_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,
0.03%,Tpool2_-1,nr-softmodem,nr_est_timing_advance_pusch,PHY,HIGH PHY,
0.03%,thread_FH,[kernel.kallsyms],kfree,PHY,LOW PHY,
0.03%,feptx,libdfts.so,idft256@plt,PHY,LOW PHY,
0.03%,thread_FH,[unknown],0xfffffe000003701b,PHY,LOW PHY,
0.03%,feptx,nr-softmodem,nr_feptx_thread,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],netdev_pick_tx,PHY,LOW PHY,
0.03%,Tpool1_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.03%,thread_FH,[kernel.kallsyms],pick_next_task_fair,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],ep_poll,PHY,LOW PHY,
0.03%,Tpool3_-1,nr-softmodem,nr_ulsch_extract_rbs_single,PHY,HIGH PHY,
0.03%,TASK_RRC_GNB,[kernel.kallsyms],cpupri_set,RRC,,
0.03%,thread_FH,[kernel.kallsyms],aa_sk_perm,PHY,LOW PHY,
0.03%,feprx,nr-softmodem,nr_fep0,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],copyout,PHY,LOW PHY,
0.03%,pdcp_timer,[kernel.kallsyms],do_syscall_64,PDCP,,
0.03%,feptx,[kernel.kallsyms],pull_rt_task,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irqrestore,PHY,LOW PHY,
0.03%,thread_FH,[kernel.kallsyms],fput_many,PHY,LOW PHY,
0.03%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_data,NG,,
0.03%,Tpool3_-1,nr-softmodem,crc24a,PHY,HIGH PHY,
0.03%,thread_FH,[kernel.kallsyms],native_apic_msr_eoi_write,PHY,LOW PHY,
