FULL Speed,No Speed,Command,Object,Symbol,Layer,Layer2,Layer3,Full-No,Full-No
20.80%,38.16%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,,,-17.36%
2.55%,3.80%,feptx,libdfts.so,idft64,PHY,LOW PHY,,,-1.25%
2.43%,2.82%,feptx,libdfts.so,idft1024,PHY,LOW PHY,,,-0.39%
2.32%,3.88%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,,,-1.56%
2.16%,4.07%,feptx,libdfts.so,idft2048,PHY,LOW PHY,,,-1.91%
1.92%,2.94%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,,-1.02%
1.75%,2.51%,feptx,libdfts.so,idft256,PHY,LOW PHY,,,-0.76%
1.55%,0%,Tpool2_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,1.55%,
1.14%,0.46%,feprx,libdfts.so,dft1024,PHY,LOW PHY,,0.68%,
1.11%,0.82%,feprx,libdfts.so,dft64,PHY,LOW PHY,,0.29%,
1.07%,0.02%,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,,1.05%,
1.02%,0%,Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,1.02%,
0.98%,1.39%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.41%
0.97%,0%,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.97%,
0.97%,0.01%,Tpool1_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,,0.96%,
0.95%,0%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,,0.95%,
0.88%,1.69%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,,,-0.81%
0.81%,0.68%,feprx,libdfts.so,dft256,PHY,LOW PHY,,0.13%,
0.81%,0.45%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,,0.36%,
0.77%,0%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,0.77%,
0.77%,0.02%,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,0.75%,
0.77%,0.00%,Tpool0_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.77%,
0.70%,0%,Tpool2_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.70%,
0.68%,0.34%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.34%,
0.68%,1.64%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.96%
0.67%,1.48%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.81%
0.65%,0%,Tpool0_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.65%,
0.64%,1.44%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.80%
0.63%,0.02%,Tpool3_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,0.61%,
