Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
38.16%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,
4.07%,feptx,libdfts.so,idft2048,PHY,LOW PHY,
3.88%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,
3.80%,feptx,libdfts.so,idft64,PHY,LOW PHY,
2.94%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
2.82%,feptx,libdfts.so,idft1024,PHY,LOW PHY,
2.51%,feptx,libdfts.so,idft256,PHY,LOW PHY,
1.69%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,
1.64%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.48%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.44%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.39%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.82%,feprx,libdfts.so,dft64,PHY,LOW PHY,
0.70%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,
0.68%,feprx,libdfts.so,dft256,PHY,LOW PHY,
0.55%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,
0.47%,thread_FH,[kernel.kallsyms],copy_page_to_iter,PHY,LOW PHY,
0.46%,feprx,libdfts.so,dft1024,PHY,LOW PHY,
0.45%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,
0.45%,feprx,libdfts.so,dft2048,PHY,LOW PHY,
0.43%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.38%,thread_FH,[kernel.kallsyms],skb_release_data,PHY,LOW PHY,
0.35%,feptx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.34%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.33%,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.31%,thread_FH,libdfts.so,dft1024,PHY,LOW PHY,
0.30%,Tpool3_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,
0.28%,Tpool0_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.28%,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.26%,thread_FH,[kernel.kallsyms],skb_copy_datagram_iter,PHY,LOW PHY,
0.25%,Tpool0_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.23%,Tpool3_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.22%,TASK_RRC_GNB,[kernel.kallsyms],do_syscall_64,RRC,,
0.21%,thread_FH,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.20%,feptx,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,
0.19%,Tpool2_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.19%,TASK_RRC_GNB,[kernel.kallsyms],__fget_light,RRC,,
0.18%,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,LOW PHY,
0.17%,TASK_RRC_GNB,nr-softmodem,itti_receive_msg,RRC,,
0.16%,TASK_GNB_APP,[kernel.kallsyms],syscall_return_via_sysret,SL,,
0.15%,Tpool1_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
