Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU1(all):72.26%,CPU1,CPU2(all)176.21%,CPU2,CPU1-CPU2
26.12%,0%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,,26.12%,,,44.08%,11.51%,82.40%,0.00%,11.51%
3.58%,3.07%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,,0.51%,,,44.08%,1.58%,82.40%,2.53%,-0.95%
2.46%,3.11%,feptx,libdfts.so,idft64,PHY,LOW PHY,DFT,,-0.65%,,44.08%,1.08%,82.40%,2.56%,-1.48%
2.36%,0%,nr-softmodem,librfsimulator.so,tx_rf,PHY,LOW PHY,,2.36%,,,44.08%,1.04%,82.40%,0.00%,1.04%
2.35%,1.51%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,,0.84%,,,44.08%,1.04%,82.40%,1.24%,-0.21%
1.88%,2.78%,feptx,libdfts.so,idft256,PHY,LOW PHY,DFT,,-0.90%,,44.08%,0.83%,82.40%,2.29%,-1.46%
1.83%,0%,feptx,libdfts.so,idft1024,PHY,LOW PHY,DFT,1.83%,,,44.08%,0.81%,82.40%,0.00%,0.81%
1.79%,0.76%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,1.03%,,,44.08%,0.79%,82.40%,0.63%,0.16%
1.48%,0%,feptx,libdfts.so,idft2048,PHY,LOW PHY,DFT,1.48%,,,44.08%,0.65%,82.40%,0.00%,0.65%
1.27%,1.87%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.60%,,44.08%,0.56%,82.40%,1.54%,-0.98%
1.27%,0%,Tpool1_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,1.27%,,,44.08%,0.56%,82.40%,0.00%,0.56%
1.21%,0%,Tpool0_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,1.21%,,,44.08%,0.53%,82.40%,0.00%,0.53%
1.20%,0%,Tpool1_-1,nr-softmodem,nr_generate_pdsch,PHY,,,1.20%,,,44.08%,0.53%,82.40%,0.00%,0.53%
1.11%,0%,Tpool2_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,1.11%,,,44.08%,0.49%,82.40%,0.00%,0.49%
1.09%,0%,Tpool3_-1,libc-2.27.so,#NAME?,PHY,HIGH PHY,LDPC,1.09%,,,44.08%,0.48%,82.40%,0.00%,0.48%
1.08%,0.94%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,0.14%,,,44.08%,0.48%,82.40%,0.77%,-0.30%
0.99%,0%,pdcp_timer,[kernel.kallsyms],arch_perf_update_userpage,PDCP,,,0.99%,,,44.08%,0.44%,82.40%,0.00%,0.44%
0.98%,0%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,,0.98%,,,44.08%,0.43%,82.40%,0.00%,0.43%
0.86%,1.06%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.20%,,44.08%,0.38%,82.40%,0.87%,-0.49%
0.70%,3.29%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-2.59%,,44.08%,0.31%,82.40%,2.71%,-2.40%
0.66%,0.35%,feprx,libdfts.so,dft256,PHY,LOW PHY,DFT,0.31%,,,44.08%,0.29%,82.40%,0.29%,0.00%
0.64%,0.03%,Tpool0_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.61%,,,44.08%,0.28%,82.40%,0.02%,0.26%
0.63%,0.06%,thread_FH,[kernel.kallsyms],__check_object_size,PHY,LOW PHY,,0.57%,,,44.08%,0.28%,82.40%,0.05%,0.23%
0.61%,0.76%,Tpool0_-1,nr-softmodem,nr_generate_pdsch,PHY,,,,-0.15%,,44.08%,0.27%,82.40%,0.63%,-0.36%
0.61%,0%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,,,0.61%,,,44.08%,0.27%,82.40%,0.00%,0.27%
0.57%,0%,Tpool1_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.57%,,,44.08%,0.25%,82.40%,0.00%,0.25%
0.53%,0.30%,feprx,libdfts.so,dft64,PHY,LOW PHY,DFT,0.23%,,,44.08%,0.23%,82.40%,0.25%,-0.01%
0.51%,0%,Tpool3_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,0.51%,,,44.08%,0.22%,82.40%,0.00%,0.22%
0.50%,0.08%,Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,0.42%,,,44.08%,0.22%,82.40%,0.07%,0.15%
0.50%,0.51%,Tpool3_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.01%,,44.08%,0.22%,82.40%,0.42%,-0.20%
0.46%,0.30%,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.16%,,,44.08%,0.20%,82.40%,0.25%,-0.04%
0.45%,0.23%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,,0.22%,,,44.08%,0.20%,82.40%,0.19%,0.01%
0.45%,0.05%,Tpool2_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,0.40%,,,44.08%,0.20%,82.40%,0.04%,0.16%
0.40%,0%,thread_FH,libdfts.so,dft1024,PHY,LOW PHY,DFT,0.40%,,,44.08%,0.18%,82.40%,0.00%,0.18%
0.38%,0.33%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,DFT,0.05%,,,44.08%,0.17%,82.40%,0.27%,-0.10%
0.38%,0.08%,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,,,0.30%,,,44.08%,0.17%,82.40%,0.07%,0.10%
0.37%,0.95%,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.58%,,44.08%,0.16%,82.40%,0.78%,-0.62%
0.37%,0.91%,Tpool3_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC,,-0.54%,,44.08%,0.16%,82.40%,0.75%,-0.59%
0.35%,0.11%,Tpool0_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.24%,,,44.08%,0.15%,82.40%,0.09%,0.06%
0.34%,0.81%,Tpool1_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,,,-0.47%,,44.08%,0.15%,82.40%,0.67%,-0.52%
0.32%,0.95%,thread_FH,[kernel.kallsyms],psi_task_change,PHY,LOW PHY,,,-0.63%,,44.08%,0.14%,82.40%,0.78%,-0.64%
0.32%,1.67%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-1.35%,,44.08%,0.14%,82.40%,1.38%,-1.24%
0.31%,0%,feprx,libdfts.so,dft2048,PHY,LOW PHY,DFT,0.31%,,,44.08%,0.14%,82.40%,0.00%,0.14%
0.30%,0%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,DFT,0.30%,,,44.08%,0.13%,82.40%,0.00%,0.13%
0.29%,0.07%,Tpool2_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC,0.22%,,,44.08%,0.13%,82.40%,0.06%,0.07%
0.28%,0%,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,0.28%,,,44.08%,0.12%,82.40%,0.00%,0.12%
0.25%,0.56%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC,,-0.31%,,44.08%,0.11%,82.40%,0.46%,-0.35%
0.24%,0.04%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64,NG,,,0.20%,,,44.08%,0.11%,82.40%,0.03%,0.07%
0.24%,0.46%,Tpool0_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,,-0.22%,,44.08%,0.11%,82.40%,0.38%,-0.27%
