Overhead1,Overhead2,Command,Object,Symbol,Layer,Layer2,Layer3,Overhead1-Overhead2,Overhead1-Overhead2,,CPU of centertopology:(all)172.37%,CPU with center topology,CPU with direct link (all)55.06%,CPU of 0Mbps,CPU1-CPU2
36.89%,32.52%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,,4.37%,,,172.37%,63.59%,55.06%,17.91%,45.68%
4.69%,5.99%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,,,-1.30%,,172.37%,8.08%,55.06%,3.30%,4.79%
4.62%,5.21%,feptx,libc-2.27.so,__memcpy_avx_unaligned_erms,PHY,LOW PHY,,,-0.59%,,172.37%,7.96%,55.06%,2.87%,5.09%
3.96%,5.58%,nr-softmodem,librfsimulator.so,tx_rf,PHY,LOW PHY,,,-1.62%,,172.37%,6.83%,55.06%,3.07%,3.75%
3.44%,2.95%,feptx,libdfts.so,idft64,PHY,LOW PHY,DFT,0.49%,,,172.37%,5.93%,55.06%,1.62%,4.31%
2.82%,3.23%,feptx,libdfts.so,idft2048,PHY,LOW PHY,DFT,,-0.41%,,172.37%,4.86%,55.06%,1.78%,3.08%
2.74%,2.46%,feptx,libdfts.so,idft256,PHY,LOW PHY,DFT,0.28%,,,172.37%,4.72%,55.06%,1.35%,3.37%
2.26%,3.76%,feptx,libdfts.so,idft1024,PHY,LOW PHY,DFT,,-1.50%,,172.37%,3.90%,55.06%,2.07%,1.83%
1.43%,1.75%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,,,-0.32%,,172.37%,2.46%,55.06%,0.96%,1.50%
1.38%,1.42%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.04%,,172.37%,2.38%,55.06%,0.78%,1.60%
1.35%,1.77%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,,-0.42%,,172.37%,2.33%,55.06%,0.97%,1.35%
1.33%,1.27%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,0.06%,,,172.37%,2.29%,55.06%,0.70%,1.59%
1.28%,1.04%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,,0.24%,,,172.37%,2.21%,55.06%,0.57%,1.63%
1.00%,0.55%,feprx,libdfts.so,dft2048,PHY,LOW PHY,DFT,0.45%,,,172.37%,1.72%,55.06%,0.30%,1.42%
0.84%,0.70%,thread_FH,libdfts.so,dft1024,PHY,LOW PHY,DFT,0.14%,,,172.37%,1.45%,55.06%,0.39%,1.06%
0.78%,0.81%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,DFT,,-0.03%,,172.37%,1.34%,55.06%,0.45%,0.90%
0.66%,0.23%,thread_FH,[kernel.kallsyms],skb_release_data,PHY,LOW PHY,,0.43%,,,172.37%,1.14%,55.06%,0.13%,1.01%
0.65%,0.47%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,DFT,0.18%,,,172.37%,1.12%,55.06%,0.26%,0.86%
0.58%,0.55%,feprx,libdfts.so,dft64,PHY,LOW PHY,DFT,0.03%,,,172.37%,1.00%,55.06%,0.30%,0.70%
0.57%,0.44%,thread_FH,[kernel.kallsyms],skb_copy_datagram_iter,PHY,LOW PHY,,0.13%,,,172.37%,0.98%,55.06%,0.24%,0.74%
0.52%,0.41%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,DFT,0.11%,,,172.37%,0.90%,55.06%,0.23%,0.67%
0.45%,0.53%,feprx,libdfts.so,dft256,PHY,LOW PHY,DFT,,-0.08%,,172.37%,0.78%,55.06%,0.29%,0.48%
0.45%,0.52%,feprx,libdfts.so,dft1024,PHY,LOW PHY,DFT,,-0.07%,,172.37%,0.78%,55.06%,0.29%,0.49%
0.44%,0.50%,thread_FH,[kernel.kallsyms],copy_page_to_iter,PHY,LOW PHY,,,-0.06%,,172.37%,0.76%,55.06%,0.28%,0.48%
0.42%,0.74%,feprx,libc-2.27.so,__memcpy_avx_unaligned_erms,PHY,LOW PHY,,,-0.32%,,172.37%,0.72%,55.06%,0.41%,0.32%
0.34%,0.53%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,,-0.19%,,172.37%,0.59%,55.06%,0.29%,0.29%
0.28%,0.22%,thread_FH,libc-2.27.so,__memcpy_avx_unaligned_erms,PHY,LOW PHY,,0.06%,,,172.37%,0.48%,55.06%,0.12%,0.36%
0.26%,0.23%,Tpool0_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.03%,,,172.37%,0.45%,55.06%,0.13%,0.32%
0.24%,0%,Tpool0_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC,0.03%,,,172.37%,0.41%,55.06%,0.00%,0.41%
0.23%,0.12%,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.11%,,,172.37%,0.40%,55.06%,0.07%,0.33%
0.22%,0.13%,Tpool3_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,0.09%,,,172.37%,0.38%,55.06%,0.07%,0.31%
0.22%,0.32%,Tpool2_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,,-0.10%,,172.37%,0.38%,55.06%,0.18%,0.20%
0.21%,0.89%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,,,-0.68%,,172.37%,0.36%,55.06%,0.49%,-0.13%
0.20%,0.04%,Tpool1_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,0.16%,,,172.37%,0.34%,55.06%,0.02%,0.32%
0.20%,0%,TASK_RRC_GNB,[kernel.kallsyms],ep_scan_ready_list.constprop.17,RRC,,,0.16%,,,172.37%,0.34%,55.06%,0.00%,0.34%
0.20%,0%,TASK_GNB_APP,nr-softmodem,dump_mac_stats,SL,,,0.16%,,,172.37%,0.34%,55.06%,0.00%,0.34%
0.19%,0.10%,feptx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,,0.09%,,,172.37%,0.33%,55.06%,0.06%,0.27%
0.16%,0%,TASK_RRC_GNB,[kernel.kallsyms],deactivate_task,RRC,,,0.09%,,,172.37%,0.28%,55.06%,0.00%,0.28%
0.15%,0.11%,Tpool0_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,0.04%,,,172.37%,0.26%,55.06%,0.06%,0.20%
0.14%,0.02%,Tpool3_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.12%,,,172.37%,0.24%,55.06%,0.01%,0.23%
0.12%,0.17%,Tpool3_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,,,-0.05%,,172.37%,0.21%,55.06%,0.09%,0.11%
0.11%,0%,TASK_GNB_APP,[kernel.kallsyms],ext4_journal_check_start,SL,,,-0.05%,,,172.37%,0.19%,55.06%,0.00%,0.19%
0.11%,0.20%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,,,-0.09%,,172.37%,0.19%,55.06%,0.11%,0.08%
0.11%,0.10%,Tpool0_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.01%,,,172.37%,0.19%,55.06%,0.06%,0.13%
0.10%,0.08%,Tpool1_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,,0.02%,,,172.37%,0.17%,55.06%,0.04%,0.13%
0.10%,0%,thread_FH,[kernel.kallsyms],copyout,PHY,LOW PHY,,0.02%,,,172.37%,0.17%,55.06%,0.00%,0.17%
0.10%,0.08%,Tpool1_-1,nr-softmodem,signal_energy_nodc,PHY,HIGH PHY,,0.02%,,,172.37%,0.17%,55.06%,0.04%,0.13%
0.09%,0.19%,thread_FH,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,,,-0.10%,,172.37%,0.16%,55.06%,0.10%,0.05%
0.09%,0.02%,thread_FH,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,,0.07%,,,172.37%,0.16%,55.06%,0.01%,0.14%
