Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
14.91%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,
5.38%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,
3.21%,TASK_GTPV1_U,[unknown],0xfffffe000003701b,NG,,
3.07%,TASK_GTPV1_U,libc-2.27.so,cfree@GLIBC_2.2.5,NG,,
2.32%,TASK_GTPV1_U,[kernel.kallsyms],ep_send_events_proc,NG,,
2.04%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock,NG,,
1.89%,TASK_GTPV1_U,[kernel.kallsyms],__fget,NG,,
1.89%,TASK_GTPV1_U,[kernel.kallsyms],__skb_checksum,NG,,
1.50%,TASK_GTPV1_U,[kernel.kallsyms],ip_finish_output2,NG,,
1.43%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_lock,NG,,
1.38%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_data,NG,,
1.32%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock_irqsave,NG,,
1.29%,TASK_GTPV1_U,[kernel.kallsyms],mlx4_en_xmit,NG,,
1.21%,TASK_GTPV1_U,[kernel.kallsyms],do_csum,NG,,
1.19%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,NG,,
1.15%,TASK_GTPV1_U,[kernel.kallsyms],ep_poll,NG,,
1.10%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_irqrestore,NG,,
1.09%,TASK_GTPV1_U,[kernel.kallsyms],sock_poll,NG,,
1.01%,TASK_GTPV1_U,[unknown],0xfffffe000003701e,NG,,
1.00%,TASK_GTPV1_U,nr-softmodem,gtpv1uTask,NG,,
1.00%,TASK_GTPV1_U,libc-2.27.so,__memset_avx2_unaligned_erms,NG,,
0.96%,TASK_GTPV1_U,[kernel.kallsyms],__indirect_thunk_start,NG,,
0.95%,TASK_GTPV1_U,[kernel.kallsyms],skb_set_owner_w,NG,,
0.88%,TASK_GTPV1_U,[kernel.kallsyms],fib_table_lookup,NG,,
0.82%,TASK_GTPV1_U,[kernel.kallsyms],native_write_msr,NG,,
0.82%,TASK_GTPV1_U,[kernel.kallsyms],__iowrite64_copy,NG,,
0.80%,TASK_GTPV1_U,[kernel.kallsyms],update_curr_rt,NG,,
0.80%,TASK_GTPV1_U,[kernel.kallsyms],ep_scan_ready_list.constprop.17,NG,,
0.79%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_in,NG,,
0.79%,TASK_GTPV1_U,libc-2.27.so,__memmove_avx_unaligned_erms,NG,,
0.76%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_unlock,NG,,
0.75%,TASK_GTPV1_U,[unknown],0xfffffe00000ca01b,NG,,
0.74%,TASK_GTPV1_U,[kernel.kallsyms],dequeue_task_rt,NG,,
0.74%,TASK_GTPV1_U,[kernel.kallsyms],ep_poll_callback,NG,,
0.73%,TASK_GTPV1_U,[kernel.kallsyms],sys_epoll_wait,NG,,
