Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
11.52%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,
3.28%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,PDCP,
2.68%,feptx,libdfts.so,idft64,PHY,LOW PHY,
2.23%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
1.88%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,PDCP,
1.72%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,
1.35%,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
1.34%,feptx,libdfts.so,idft1024,PHY,LOW PHY,
1.30%,feptx,libdfts.so,idft256,PHY,LOW PHY,
1.25%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.22%,feprx,libdfts.so,dft2048,PHY,LOW PHY,
1.17%,TASK_GTPV1_U,libc-2.27.so,vfprintf,NG,PDCP,
1.02%,TASK_GTPV1_U,[kernel.kallsyms],vfs_write,NG,PDCP,
0.98%,TASK_GTPV1_U,[kernel.kallsyms],n_tty_write,NG,PDCP,
0.87%,TASK_GTPV1_U,[kernel.kallsyms],resched_curr,NG,PDCP,
0.80%,RLC,queue,[k],RLC,,
0.80%,Tpool0_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
0.80%,Tpool1_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
0.80%,TASK_RRC_GNB,[kernel.kallsyms],do_syscall_64,RRC,,
0.76%,TASK_GTPV1_U,libc-2.27.so,_IO_default_xsputn,NG,PDCP,
0.76%,TASK_GTPV1_U,[kernel.kallsyms],mark_wake_futex,NG,PDCP,
0.73%,feprx,libdfts.so,dft1024,PHY,LOW PHY,
0.71%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock_irqsave,NG,PDCP,
0.70%,Tpool2_-1,nr-softmodem,fill_ul_rb_mask,PHY,LOW PHY,
0.66%,feptx,libdfts.so,idft2048,PHY,LOW PHY,
0.65%,TASK_GTPV1_U,[kernel.kallsyms],datagram_poll,NG,PDCP,
0.63%,TASK_GTPV1_U,[kernel.kallsyms],finish_task_switch,NG,PDCP,
0.62%,Tpool0_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.62%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,NG,PDCP,
0.61%,TASK_GTPV1_U,[kernel.kallsyms],select_idle_sibling,NG,PDCP,
0.61%,pdcp_timer,libpthread-2.27.so,__pthread_mutex_lock,PDCP,,
0.57%,TASK_RRC_GNB,[kernel.kallsyms],cpupri_set,RRC,,
0.56%,thread_FH,[kernel.kallsyms],ep_poll,PHY,LOW PHY,
0.56%,Tpool1_-1,nr-softmodem,crc24a,PHY,HIGH PHY,
0.55%,thread_FH,[kernel.kallsyms],__kmalloc_node_track_caller,PHY,LOW PHY,
0.54%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,
0.53%,RLC,queue,[k],RLC,,
0.52%,RLC,queue,[.],RLC,,
0.51%,feprx,libpthread-2.27.so,__lll_unlock_wake,PHY,LOW PHY,
0.51%,Tpool0_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
0.45%,Tpool1_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.43%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_data,NG,PDCP,
0.40%,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC
0.39%,TASK_GTPV1_U,[kernel.kallsyms],cpupri_set,NG,PDCP,
0.39%,feprx,libdfts.so,dft256,PHY,LOW PHY,
0.39%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock,NG,PDCP,
0.38%,Tpool1_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.37%,TASK_GTPV1_U,[kernel.kallsyms],pty_write,NG,PDCP,
0.37%,TASK_GTPV1_U,[kernel.kallsyms],do_csum,NG,PDCP,
0.35%,Tpool1_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC
0.35%,TASK_GTPV1_U,[kernel.kallsyms],select_task_rq_fair,NG,PDCP,
0.33%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
0.31%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_lock,NG,PDCP,
0.31%,Tpool2_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC
0.30%,TASK_GTPV1_U,libc-2.27.so,malloc,NG,PDCP,
0.29%,pdcp_timer,[kernel.kallsyms],syscall_return_via_sysret,PDCP,,
0.28%,feptx,nr-softmodem,nr_feptx_thread,PHY,LOW PHY,
0.27%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,HIGH PHY,
0.27%,TASK_GTPV1_U,[kernel.kallsyms],__tty_buffer_request_room,NG,PDCP,
0.26%,TASK_GTPV1_U,nr-softmodem,log_output_memory.isra.1,NG,PDCP,
0.26%,TASK_GTPV1_U,[kernel.kallsyms],__indirect_thunk_start,NG,PDCP,
0.26%,TASK_GTPV1_U,[kernel.kallsyms],__skb_checksum,NG,PDCP,
0.26%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
