Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
26.78%,thread_FH,librfsimulator.so,rfsimulator_read,PHY,LOW PHY,
3.75%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,
2.91%,feptx,libdfts.so,idft64,PHY,LOW PHY,
2.75%,feptx,libdfts.so,idft2048,PHY,LOW PHY,
2.55%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
2.13%,feptx,libdfts.so,idft256,PHY,LOW PHY,
1.97%,feptx,libdfts.so,idft1024,PHY,LOW PHY,
1.68%,Tpool3_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
1.43%,Tpool0_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
1.33%,Tpool1_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
1.24%,Tpool2_-1,libldpc.so,nrLDPC_cnProc_BG1,PHY,HIGH PHY,LDPC
1.20%,thread_FH,libc-2.27.so,__memset_avx2_erms,PHY,LOW PHY,
1.02%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.02%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.92%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.90%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.86%,feprx,libdfts.so,dft64,PHY,LOW PHY,
0.84%,feprx,libdfts.so,dft2048,PHY,LOW PHY,
0.80%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,
0.56%,thread_FH,libdfts.so,dft2048,PHY,LOW PHY,
0.51%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,
0.47%,Tpool3_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC
0.46%,Tpool2_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC
0.44%,Tpool0_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC
0.44%,thread_FH,libdfts.so,dft1024,PHY,LOW PHY,
0.40%,Tpool3_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC
0.38%,Tpool1_-1,libldpc.so,nrLDPC_bnProcPc,PHY,HIGH PHY,LDPC
0.36%,Tpool1_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC
0.36%,Tpool3_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.36%,Tpool2_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.36%,Tpool2_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC
0.35%,feprx,libdfts.so,dft1024,PHY,LOW PHY,
0.35%,Tpool1_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.32%,Tpool2_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.31%,thread_FH,[kernel.kallsyms],copy_page_to_iter,PHY,LOW PHY,
0.31%,Tpool0_-1,libldpc.so,nrLDPC_bnProc,PHY,HIGH PHY,LDPC
0.31%,Tpool0_-1,libldpc.so,nrLDPC_decoder_core.isra.1,PHY,HIGH PHY,LDPC
0.30%,feprx,libdfts.so,dft256,PHY,LOW PHY,
0.24%,Tpool3_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC
0.23%,Tpool2_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC
0.22%,Tpool0_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC
0.22%,Tpool1_-1,nr-softmodem,nr_rate_matching_ldpc_rx,PHY,HIGH PHY,LDPC
0.21%,Tpool0_-1,nr-softmodem,nr_ulsch_extract_rbs_single,PHY,HIGH PHY,
0.20%,TASK_GNB_APP,libc-2.27.so,usleep,SL,,
0.18%,PDCP,data,libpthread-2.27.so,PDCP,,
0.17%,Tpool1_-1,nr-softmodem,multadd_cpx_vector,PHY,LOW PHY,
0.17%,TASK_GTPV1_U,[kernel.kallsyms],__kmalloc_node_track_caller,NG,,
0.17%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.17%,TASK_GTPV1_U,[kernel.kallsyms],__ip_append_data.isra.43,NG,,
0.17%,Tpool2_-1,libldpc.so,nrLDPC_cnProcPc_BG1,PHY,HIGH PHY,LDPC
0.17%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_unlock,NG,,
0.16%,thread_FH,[kernel.kallsyms],skb_copy_datagram_iter,PHY,LOW PHY,
0.16%,Tpool0_-1,libldpc.so,nrLDPC_cnProcPc_BG1,PHY,HIGH PHY,LDPC
0.16%,PDCP,data,nr-softmodem,PDCP,,
0.16%,TASK_GTPV1_U,[kernel.kallsyms],ep_item_poll.isra.12,NG,,
0.14%,thread_FH,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.14%,TASK_RRC_GNB,libc-2.27.so,cfree@GLIBC_2.2.5,RRC,,
0.14%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
