Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
14.41%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,
5.62%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,
3.26%,TASK_GTPV1_U,[unknown],0xfffffe000003701b,NG,,
2.10%,TASK_GTPV1_U,[kernel.kallsyms],ep_send_events_proc,NG,,
2.01%,TASK_GTPV1_U,[kernel.kallsyms],mlx4_en_xmit,NG,,
1.88%,TASK_GTPV1_U,[kernel.kallsyms],__fdget_pos,NG,,
1.66%,TASK_GTPV1_U,[kernel.kallsyms],__fget,NG,,
1.61%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock,NG,,
1.55%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_lock_irqsave,NG,,
1.43%,TASK_GTPV1_U,nr-softmodem,gtpv1uTask,NG,,
1.41%,TASK_GTPV1_U,[kernel.kallsyms],ip_do_fragment,NG,,
1.34%,TASK_GTPV1_U,[kernel.kallsyms],__skb_checksum,NG,,
1.28%,TASK_GTPV1_U,[kernel.kallsyms],sys_epoll_wait,NG,,
1.19%,TASK_GTPV1_U,[kernel.kallsyms],csum_partial_copy_generic,NG,,
1.17%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_lock,NG,,
1.16%,TASK_GTPV1_U,[kernel.kallsyms],inet_lookup_ifaddr_rcu,NG,,
1.15%,TASK_GTPV1_U,[kernel.kallsyms],__alloc_skb,NG,,
1.13%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,NG,,
1.04%,TASK_GTPV1_U,[kernel.kallsyms],cpupri_set,NG,,
0.98%,TASK_GTPV1_U,[kernel.kallsyms],__indirect_thunk_start,NG,,
0.97%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_irqrestore,NG,,
0.96%,TASK_GTPV1_U,[kernel.kallsyms],schedule,NG,,
0.93%,TASK_GTPV1_U,[kernel.kallsyms],__dev_queue_xmit,NG,,
0.93%,TASK_GTPV1_U,[kernel.kallsyms],__iowrite64_copy,NG,,
0.90%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_data,NG,,
0.89%,TASK_GTPV1_U,[kernel.kallsyms],fib_table_lookup,NG,,
0.87%,TASK_GTPV1_U,[kernel.kallsyms],copy_user_enhanced_fast_string,NG,,
0.86%,TASK_GTPV1_U,[kernel.kallsyms],__slab_free,NG,,
0.85%,TASK_GTPV1_U,[kernel.kallsyms],sock_poll,NG,,
0.84%,TASK_GTPV1_U,[kernel.kallsyms],ip_route_output_key_hash_rcu,NG,,
0.78%,TASK_GTPV1_U,[kernel.kallsyms],pick_next_task_fair,NG,,
0.73%,TASK_GTPV1_U,[kernel.kallsyms],__sk_mem_reduce_allocated,NG,,
0.72%,TASK_GTPV1_U,[kernel.kallsyms],skb_copy_datagram_iter,NG,,
0.69%,TASK_GTPV1_U,[kernel.kallsyms],kfree,NG,,
0.68%,TASK_GTPV1_U,[kernel.kallsyms],ksize,NG,,
0.66%,TASK_GTPV1_U,[kernel.kallsyms],kmem_cache_free,NG,,
0.66%,TASK_GTPV1_U,[kernel.kallsyms],datagram_poll,NG,,
0.66%,TASK_GTPV1_U,[kernel.kallsyms],udp_sendmsg,NG,,
0.65%,TASK_GTPV1_U,[kernel.kallsyms],ep_poll,NG,,
0.64%,TASK_GTPV1_U,[unknown],0xfffffe0000037025,NG,,
0.63%,TASK_GTPV1_U,[kernel.kallsyms],__ip_append_data.isra.43,NG,,
0.63%,TASK_GTPV1_U,[kernel.kallsyms],netif_skb_features,NG,,
0.61%,TASK_GTPV1_U,[kernel.kallsyms],do_csum,NG,,
0.61%,TASK_GTPV1_U,libc-2.27.so,cfree@GLIBC_2.2.5,NG,,
0.58%,TASK_GTPV1_U,[kernel.kallsyms],copy_page_to_iter,NG,,
0.57%,TASK_GTPV1_U,[kernel.kallsyms],ip_setup_cork,NG,,
0.56%,TASK_GTPV1_U,libc-2.27.so,__memset_avx2_unaligned_erms,NG,,
0.56%,TASK_GTPV1_U,[kernel.kallsyms],dev_hard_start_xmit,NG,,
0.56%,TASK_GTPV1_U,[kernel.kallsyms],skb_set_owner_w,NG,,
0.55%,TASK_GTPV1_U,nr-softmodem,itti_get_events_locked,NG,,
0.55%,TASK_GTPV1_U,[kernel.kallsyms],mutex_lock,NG,,
0.54%,TASK_GTPV1_U,libc-2.27.so,epoll_wait,NG,,
0.54%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_mutex_unlock,NG,,
0.54%,TASK_GTPV1_U,[kernel.kallsyms],__rcu_read_lock,NG,,
0.54%,TASK_GTPV1_U,[kernel.kallsyms],SYSC_recvfrom,NG,,
0.53%,TASK_GTPV1_U,[kernel.kallsyms],skb_network_protocol,NG,,
0.52%,TASK_GTPV1_U,[kernel.kallsyms],__perf_event_task_sched_in,NG,,
0.51%,TASK_GTPV1_U,[kernel.kallsyms],ip_finish_output2,NG,,
0.48%,TASK_GTPV1_U,[kernel.kallsyms],ep_poll_callback,NG,,
0.48%,TASK_GTPV1_U,[kernel.kallsyms],common_file_perm,NG,,
0.48%,TASK_GTPV1_U,[kernel.kallsyms],eventfd_ctx_read,NG,,
0.48%,TASK_GTPV1_U,[kernel.kallsyms],fput_many,NG,,
0.48%,TASK_GTPV1_U,[kernel.kallsyms],udp_recvmsg,NG,,
0.47%,TASK_GTPV1_U,nr-softmodem,gtpv1uReceiver,NG,,
0.47%,TASK_GTPV1_U,[kernel.kallsyms],update_curr_rt,NG,,
0.45%,TASK_GTPV1_U,[kernel.kallsyms],SYSC_sendto,NG,,
0.44%,TASK_GTPV1_U,[kernel.kallsyms],security_file_permission,NG,,
0.44%,TASK_GTPV1_U,[kernel.kallsyms],entry_SYSCALL_64_stage2,NG,,
0.44%,TASK_GTPV1_U,[kernel.kallsyms],cpuacct_charge,NG,,
0.43%,TASK_GTPV1_U,[kernel.kallsyms],move_addr_to_user,NG,,
0.43%,TASK_GTPV1_U,[kernel.kallsyms],schedule_hrtimeout_range_clock,NG,,
0.41%,TASK_GTPV1_U,[kernel.kallsyms],__rcu_read_unlock,NG,,
0.38%,TASK_GTPV1_U,[kernel.kallsyms],enqueue_top_rt_rq,NG,,
0.38%,TASK_GTPV1_U,[kernel.kallsyms],skb_put,NG,,
0.37%,TASK_GTPV1_U,libpthread-2.27.so,__pthread_enable_asynccancel,NG,,
0.37%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock,NG,,
0.36%,TASK_GTPV1_U,[kernel.kallsyms],__local_bh_enable_ip,NG,,
0.35%,TASK_GTPV1_U,[kernel.kallsyms],native_sched_clock,NG,,
0.35%,TASK_GTPV1_U,[kernel.kallsyms],ip_finish_output,NG,,
0.35%,TASK_GTPV1_U,[kernel.kallsyms],__netdev_pick_tx,NG,,
0.34%,TASK_GTPV1_U,libc-2.27.so,__memmove_avx_unaligned_erms,NG,,
0.34%,TASK_GTPV1_U,[kernel.kallsyms],import_single_range,NG,,
0.34%,TASK_GTPV1_U,nr-softmodem,sdap_data_req,NG,,
0.34%,TASK_GTPV1_U,[kernel.kallsyms],security_socket_recvmsg,NG,,
0.34%,TASK_GTPV1_U,[unknown],0xfffffe000003701e,NG,,
0.34%,TASK_GTPV1_U,[kernel.kallsyms],__first_packet_length,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],mlx4_en_select_queue,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],__kmalloc_node_track_caller,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],rcu_note_context_switch,NG,,
0.33%,TASK_GTPV1_U,[kernel.kallsyms],ip_send_skb,NG,,
0.33%,TASK_GTPV1_U,[unknown],0xfffffe000003700c,NG,,
0.31%,TASK_GTPV1_U,[kernel.kallsyms],sch_direct_xmit,NG,,
0.30%,TASK_GTPV1_U,[kernel.kallsyms],skb_release_head_state,NG,,
0.29%,TASK_GTPV1_U,[kernel.kallsyms],_raw_spin_unlock_bh,NG,,
0.28%,TASK_GTPV1_U,[kernel.kallsyms],deactivate_task,NG,,
0.28%,TASK_GTPV1_U,[kernel.kallsyms],kfree_skbmem,NG,,
0.27%,TASK_GTPV1_U,nr-softmodem,nr_pdcp_entity_recv_sdu,NG,,
0.26%,TASK_GTPV1_U,[kernel.kallsyms],vfs_write,NG,,
