Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
4.05%,feptx,libdfts.so,idft1536,PHY,LOW PHY,
4.00%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
3.72%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,
3.05%,feptx,libdfts.so,idft64,PHY,LOW PHY,
2.21%,feptx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
2.10%,thread_FH,liboai_usrpdevif.so,trx_usrp_read,PHY,LOW PHY,
1.85%,feprx,libdfts.so,dft1536,PHY,LOW PHY,
1.72%,feptx,libdfts.so,idft512,PHY,LOW PHY,
1.70%,Tpool3_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
1.58%,Tpool0_-1,libc-2.27.so,--0.79%--nrLDPC_decod,PHY,HIGH PHY,LDPC
1.55%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,
1.45%,Tpool1_-1,libc-2.27.so,--1.10%--nrLDPC_decod,PHY,HIGH PHY,LDPC
1.45%,Tpool2_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
1.41%,thread_FH,libuhd.so.4.1.0,0x00000000001f59b0,PHY,LOW PHY,
1.28%,thread_FH,[kernel.kallsyms],psi_task_change,PHY,LOW PHY,
1.26%,thread_FH,[kernel.kallsyms],entry_SYSCALL_64,PHY,LOW PHY,
1.14%,thread_FH,libusb-1.0.so.0.1.0,libusb_submit_transfer,PHY,LOW PHY,
1.12%,Tpool2_-1,[kernel.kallsyms],ldpc8blocks,PHY,HIGH PHY,LDPC
1.10%,Tpool3_-1,nr-softmodem,get_dmrs_freq_idx,PHY,HIGH PHY,
1.04%,thread_FH,libdfts.so,dft1536,PHY,LOW PHY,
0.98%,nr-softmodem,liboai_usrpdevif.so,tx_rf,PHY,LOW PHY,
0.97%,thread_FH,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,
0.96%,thread_FH,[kernel.kallsyms],_raw_spin_lock_irqsave,PHY,LOW PHY,
0.93%,Tpool0_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,
0.93%,feptx,libdfts.so,idft256,PHY,LOW PHY,
0.91%,Tpool0_-1,libc-2.27.so,ldpc8blocks,PHY,HIGH PHY,LDPC
0.87%,feprx,[kernel.kallsyms],switch_fpu_return,PHY,LOW PHY,
0.80%,Tpool2_-1,libc-2.27.so,--0.70%--phy_procedures_gNB_TX,PHY,,
0.77%,thread_FH,[kernel.kallsyms],_raw_spin_lock,PHY,LOW PHY,
0.77%,Tpool2_-1,nr-softmodem,nr_generate_dci,PHY,HIGH PHY,
0.72%,Tpool0_-1,nr-softmodem,nr_codeword_scrambling,PHY,HIGH PHY,
0.72%,thread_FH,[kernel.kallsyms],cpupri_set,PHY,LOW PHY,
0.70%,Tpool1_-1,nr-softmodem,dB_fixed_times10,PHY,LOW PHY,
0.70%,thread_FH,[kernel.kallsyms],memset_erms,PHY,LOW PHY,
0.68%,Tpool2_-1,libc-2.27.so,ldpc8blocks,PHY,HIGH PHY,LDPC
0.67%,thread_FH,[kernel.kallsyms],__fget,PHY,LOW PHY,
0.67%,thread_FH,[kernel.kallsyms],record_times,PHY,LOW PHY,
0.67%,thread_FH,libpthread-2.27.so,__pthread_mutex_unlock,PHY,LOW PHY,
0.64%,Tpool2_-1,nr-softmodem,gNB_I0_measurements,PHY,HIGH PHY,
0.63%,Tpool3_-1,libldpc.so,ldpc384_byte,PHY,HIGH PHY,LDPC
0.57%,Tpool2_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,
0.56%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.53%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irqrestore,PHY,LOW PHY,
0.52%,feptx,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,
0.51%,Tpool1_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
0.48%,thread_FH,[kernel.kallsyms],processcompl,PHY,LOW PHY,
0.48%,Tpool0_-1,nr-softmodem,nr_generate_pdsch,PHY,,
0.45%,Tpool0_-1,libldpc.so,ldpc320_byte,PHY,HIGH PHY,LDPC
0.44%,thread_FH,[kernel.kallsyms],proc_do_submiturb,PHY,LOW PHY,
0.43%,Tpool3_-1,nr-softmodem,nr_segmentation,PHY,HIGH PHY,
0.40%,thread_FH,[kernel.kallsyms],__slab_free,PHY,LOW PHY,
0.39%,thread_FH,[kernel.kallsyms],native_sched_clock,PHY,LOW PHY,
0.37%,Tpool0_-1,libldpc.so,nrLDPC_encod,PHY,HIGH PHY,LDPC
0.33%,Tpool1_-1,libldpc.so,ldpc288_byte,PHY,HIGH PHY,LDPC
0.32%,thread_FH,[kernel.kallsyms],__kmalloc,PHY,LOW PHY,
0.30%,thread_FH,[kernel.kallsyms],mutex_spin_on_owner,PHY,LOW PHY,
0.29%,feptx,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,
0.29%,thread_FH,[kernel.kallsyms],futex_wake,PHY,LOW PHY,
0.28%,thread_FH,libdfts.so,dft64,PHY,LOW PHY,
0.27%,thread_FH,libuhd.so.4.1.0,0x00000000001f59b5,PHY,LOW PHY,
0.27%,thread_FH,libpthread-2.27.so,pthread_cond_timedwait@@GLIBC_2.3.2,PHY,LOW PHY,
0.26%,thread_FH,libc-2.27.so,cfree@GLIBC_2.2.5,PHY,LOW PHY,
0.26%,thread_FH,[kernel.kallsyms],schedule,PHY,LOW PHY,
0.26%,feprx,libc-2.27.so,__memmove_avx_unaligned_erms,PHY,LOW PHY,
0.25%,thread_FH,[kernel.kallsyms],fput_many,PHY,LOW PHY,
0.25%,feptx,[kernel.kallsyms],prepare_exit_to_usermode,PHY,LOW PHY,
0.25%,thread_FH,libdfts.so,dft512,PHY,LOW PHY,
0.24%,thread_FH,[kernel.kallsyms],clear_page_erms,PHY,LOW PHY,
0.24%,thread_FH,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,PHY,LOW PHY,
0.24%,thread_FH,[kernel.kallsyms],entry_SYSCALL_64_after_hwframe,PHY,LOW PHY,
0.24%,thread_FH,[kernel.kallsyms],put_pid,PHY,LOW PHY,
0.24%,feptx,[kernel.kallsyms],native_queued_spin_lock_slowpath,PHY,LOW PHY,
0.24%,Tpool3_-1,libdfts.so,idft512,PHY,LOW PHY,
0.23%,feptx,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,
0.23%,thread_FH,[kernel.kallsyms],deactivate_task,PHY,LOW PHY,
0.22%,thread_FH,[kernel.kallsyms],finish_task_switch,PHY,LOW PHY,
0.22%,thread_FH,[kernel.kallsyms],__pollwait,PHY,LOW PHY,
0.22%,thread_FH,[kernel.kallsyms],select_task_rq_rt,PHY,LOW PHY,
0.21%,TASK_GTPV1_U,[kernel.kallsyms],do_syscall_64,NG,,
0.21%,thread_FH,[kernel.kallsyms],_raw_spin_unlock_irq,PHY,LOW PHY,
0.20%,thread_FH,libc-2.27.so,_int_malloc,PHY,LOW PHY,
0.20%,thread_FH,[kernel.kallsyms],mutex_unlock,PHY,LOW PHY,
0.20%,thread_FH,[kernel.kallsyms],__x64_sys_futex,PHY,LOW PHY,
0.20%,thread_FH,[kernel.kallsyms],switch_fpu_return,PHY,LOW PHY,
0.20%,thread_FH,[kernel.kallsyms],native_write_msr,PHY,LOW PHY,
0.20%,thread_FH,[kernel.kallsyms],__put_user_4,PHY,LOW PHY,
0.19%,thread_FH,[kernel.kallsyms],do_sys_poll,PHY,LOW PHY,
0.19%,thread_FH,[kernel.kallsyms],usbdev_do_ioctl,PHY,LOW PHY,
0.19%,thread_FH,libc-2.27.so,__libc_calloc,PHY,LOW PHY,
0.18%,thread_FH,[kernel.kallsyms],__x64_sys_ioctl,PHY,LOW PHY,
0.18%,thread_FH,[kernel.kallsyms],get_partial_node.isra.85,PHY,LOW PHY,
0.18%,thread_FH,[kernel.kallsyms],newidle_balance,PHY,LOW PHY,
0.17%,thread_FH,[kernel.kallsyms],async_getcompleted,PHY,LOW PHY,
0.17%,feptx,libpthread-2.27.so,pthread_cond_wait@@GLIBC_2.3.2,PHY,LOW PHY,
0.17%,thread_FH,[kernel.kallsyms],mutex_lock,PHY,LOW PHY,
0.17%,thread_FH,[kernel.kallsyms],__fget_light,PHY,LOW PHY,
0.16%,thread_FH,libuhd.so.4.1.0,0x00000000001f59bf,PHY,LOW PHY,
0.16%,thread_FH,libdfts.so,dft256,PHY,LOW PHY,
0.16%,thread_FH,[kernel.kallsyms],__sched_text_start,PHY,LOW PHY,
0.16%,thread_FH,[kernel.kallsyms],pick_next_task_fair,PHY,LOW PHY,
0.16%,thread_FH,[kernel.kallsyms],___slab_alloc,PHY,LOW PHY,
0.15%,thread_FH,libuhd.so.4.1.0,0x00000000001f59ca,PHY,LOW PHY,
0.14%,Tpool3_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.14%,thread_FH,[kernel.kallsyms],dequeue_top_rt_rq,PHY,LOW PHY,
0.14%,pdcp_timer,[kernel.kallsyms],do_syscall_64,PDCP,,
0.14%,thread_FH,[kernel.kallsyms],kfree,PHY,LOW PHY,
0.13%,thread_FH,libboost_thread.so.1.65.1,boost::thread_detail::enter_once_region,PHY,LOW PHY,
0.13%,Tpool0_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.13%,thread_FH,[kernel.kallsyms],ctx_sched_in,PHY,LOW PHY,
0.13%,thread_FH,[kernel.kallsyms],__put_user_8,PHY,LOW PHY,
0.13%,thread_FH,[kernel.kallsyms],do_futex,PHY,LOW PHY,
0.12%,thread_FH,[kernel.kallsyms],pick_next_task_dl,PHY,LOW PHY,
0.12%,thread_FH,[kernel.kallsyms],get_futex_key,PHY,LOW PHY,
0.12%,thread_FH,[kernel.kallsyms],__check_object_size,PHY,LOW PHY,
0.12%,thread_FH,[kernel.kallsyms],__x64_sys_poll,PHY,LOW PHY,
0.11%,thread_FH,[kernel.kallsyms],resched_curr,PHY,LOW PHY,
0.10%,thread_FH,libuhd.so.4.1.0,0x000000000077fb69,PHY,LOW PHY,
0.10%,thread_FH,libc-2.27.so,__offtime,PHY,LOW PHY,
0.10%,thread_FH,[kernel.kallsyms],update_rq_clock,PHY,LOW PHY,
0.10%,TASK_GTPV1_U,[kernel.kallsyms],psi_task_change,NG,,
0.10%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d2db,PHY,LOW PHY,
0.10%,thread_FH,libc-2.27.so,__GI___ioctl,PHY,LOW PHY,
0.10%,thread_FH,[kernel.kallsyms],get_futex_key_refs.isra.10,PHY,LOW PHY,
0.10%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_out,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],__unqueue_futex,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],mark_wake_futex,PHY,LOW PHY,
0.09%,Tpool2_-1,nr-softmodem,nr_generate_pdsch,PHY,,
0.09%,thread_FH,[kernel.kallsyms],_raw_spin_lock_irq,PHY,LOW PHY,
0.09%,thread_FH,libc-2.27.so,__tz_convert,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],dequeue_task_rt,PHY,LOW PHY,
0.09%,Tpool1_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
0.09%,thread_FH,[kernel.kallsyms],visit_groups_merge,PHY,LOW PHY,
0.09%,RLC,queue,[k],RLC,,
0.09%,thread_FH,[kernel.kallsyms],usbdev_poll,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],__hrtimer_init,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],poll_schedule_timeout.constprop.13,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],timestamp_truncate,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],__x86_indirect_thunk_rax,PHY,LOW PHY,
0.09%,thread_FH,[kernel.kallsyms],fput,PHY,LOW PHY,
0.08%,thread_FH,[kernel.kallsyms],read_tsc,PHY,LOW PHY,
0.08%,feptx,[kernel.kallsyms],futex_wake,PHY,LOW PHY,
0.08%,feptx,[kernel.kallsyms],__unqueue_futex,PHY,LOW PHY,
0.08%,thread_FH,[kernel.kallsyms],futex_wait,PHY,LOW PHY,
0.08%,thread_FH,[kernel.kallsyms],usb_get_urb,PHY,LOW PHY,
0.08%,thread_FH,libuhd.so.4.1.0,0x00000000002fbd69,PHY,LOW PHY,
0.08%,thread_FH,[kernel.kallsyms],__fdget,PHY,LOW PHY,
0.08%,thread_FH,[kernel.kallsyms],usb_free_urb,PHY,LOW PHY,
0.07%,thread_FH,libuhd.so.4.1.0,0x00000000002fc6a5,PHY,LOW PHY,
0.07%,thread_FH,[kernel.kallsyms],usb_hcd_submit_urb,PHY,LOW PHY,
0.07%,thread_FH,[kernel.kallsyms],perf_swevent_add,PHY,LOW PHY,
0.07%,thread_FH,libuhd.so.4.1.0,uhd::time_spec_t::from_ticks,PHY,LOW PHY,
0.07%,RLC,queue,[.],RLC,,
0.07%,Tpool0_-1,libldpc.so,nrLDPC_cnProc_BG2,PHY,HIGH PHY,LDPC
0.07%,thread_FH,[kernel.kallsyms],group_sched_in,PHY,LOW PHY,
0.06%,thread_FH,[kernel.kallsyms],dequeue_rt_stack,PHY,LOW PHY,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],select_task_rq_rt,NG,,
0.06%,thread_FH,[kernel.kallsyms],pick_next_task_rt,PHY,LOW PHY,
0.06%,thread_FH,[kernel.kallsyms],prepare_ring,PHY,LOW PHY,
0.06%,Tpool1_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
0.06%,RLC,queue,[k],RLC,,
0.06%,thread_FH,libusb-1.0.so.0.1.0,0x00000000000043e4,PHY,LOW PHY,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],syscall_return_via_sysret,NG,,
0.06%,TASK_GTPV1_U,[kernel.kallsyms],native_sched_clock,NG,,
0.06%,TASK_GTPV1_U,libpthread-2.27.so,pthread_cond_signal@@GLIBC_2.3.2,NG,,
0.06%,RLC,queue,[k],RLC,,
0.06%,thread_FH,[kernel.kallsyms],enqueue_task_rt,PHY,LOW PHY,
0.06%,thread_FH,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,
0.06%,thread_FH,[kernel.kallsyms],activate_task,PHY,LOW PHY,
0.06%,Tpool1_-1,nr-softmodem,nr_interleaving_ldpc,PHY,HIGH PHY,LDPC
0.06%,thread_FH,[kernel.kallsyms],ctx_sched_out,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],check_preempt_curr,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],x2apic_send_IPI,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],unfreeze_partials.isra.84,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],pick_next_task_stop,PHY,LOW PHY,
0.05%,feptx,[kernel.kallsyms],__perf_event_task_sched_in,PHY,LOW PHY,
0.05%,feptx,[kernel.kallsyms],psi_task_change,PHY,LOW PHY,
0.05%,RLC,queue,[.],RLC,,
0.05%,thread_FH,[kernel.kallsyms],usb_hcd_map_urb_for_dma,PHY,LOW PHY,
0.05%,feprx,libdfts.so,dft64,PHY,LOW PHY,
0.05%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d325,PHY,LOW PHY,
0.05%,feptx,[kernel.kallsyms],native_irq_return_iret,PHY,LOW PHY,
0.05%,thread_FH,libc-2.27.so,__poll,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],wake_q_add_safe,PHY,LOW PHY,
0.05%,Tpool1_-1,nr-softmodem,phy_procedures_gNB_TX,PHY,,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],__skb_recv_udp,NG,,
0.05%,thread_FH,[kernel.kallsyms],futex_wait_setup,PHY,LOW PHY,
0.05%,nr-softmodem,nr-softmodem,tx_rf,PHY,LOW PHY,
0.05%,RLC,queue,[.],RLC,,
0.05%,TASK_RRC_GNB,[kernel.kallsyms],__fsnotify_parent,RRC,,
0.05%,TASK_RRC_GNB,[kernel.kallsyms],_raw_spin_lock,RRC,,
0.05%,TASK_RRC_GNB,[kernel.kallsyms],schedule_hrtimeout_range_clock,RRC,,
0.05%,thread_FH,[kernel.kallsyms],sched_clock,PHY,LOW PHY,
0.05%,TASK_GTPV1_U,[kernel.kallsyms],cpupri_set,NG,,
0.05%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000d2c0,PHY,LOW PHY,
0.05%,thread_FH,libusb-1.0.so.0.1.0,0x000000000000873f,PHY,LOW PHY,
0.05%,thread_FH,[kernel.kallsyms],pick_next_task_idle,PHY,LOW PHY,
0.05%,Tpool3_-1,nr-softmodem,nr_generate_pdsch,PHY,,
