Overhead,Command,Object,Symbol,Layer,Layer2,Layer3
6.36%,feptx,libdfts.so,idft1536,PHY,LOW PHY,DFT
4.55%,thread_FH,[kernel.kallsyms],do_syscall_64,PHY,LOW PHY,DFT
4.26%,feptx,libdfts.so,idft64,PHY,LOW PHY,DFT
3.12%,thread_FH,[kernel.kallsyms],copy_user_enhanced_fast_string,PHY,LOW PHY,DFT
2.30%,Tpool2_-1,nr-softmodem,rotate_cpx_vector,PHY,HIGH PHY,
2.20%,thread_FH,liboai_usrpdevif.so,trx_usrp_read,PHY,LOW PHY,DFT
1.66%,Tpool1_-1,libc-2.27.so,ldpc8blocks,PHY,HIGH PHY,LDPC
1.59%,thread_FH,[kernel.kallsyms],syscall_return_via_sysret,PHY,LOW PHY,DFT
1.51%,thread_FH,[kernel.kallsyms],entry_SYSCALL_64,PHY,LOW PHY,DFT
1.47%,Tpool0_-1,libc-2.27.so,--1.40%--nrLDPC_decod,PHY,HIGH PHY,LDPC
1.37%,thread_FH,[kernel.kallsyms],psi_task_change,PHY,LOW PHY,DFT
1.28%,nr-softmodem,liboai_usrpdevif.so,tx_rf,PHY,LOW PHY,
1.28%,Tpool3_-1,nr-softmodem,nr_modulation,PHY,HIGH PHY,
1.18%,thread_FH,[kernel.kallsyms],finish_task_switch,PHY,LOW PHY,DFT
1.13%,thread_FH,libuhd.so.4.1.0,0x00000000001f59b0,PHY,LOW PHY,DFT
1.13%,thread_FH,libc-2.27.so,__offtime,PHY,LOW PHY,DFT
1.12%,Tpool1_-1,libdfts.so,idft64,PHY,LOW PHY,DFT
1.10%,Tpool2_-1,nr-softmodem,rx_nr_prach,PHY,LOW PHY,
1.10%,thread_FH,libpthread-2.27.so,__pthread_mutex_lock,PHY,LOW PHY,DFT
1.03%,thread_FH,[kernel.kallsyms],_raw_spin_lock_irqsave,PHY,LOW PHY,DFT
1.02%,feptx,[kernel.kallsyms],psi_task_change,PHY,LOW PHY,DFT
1.00%,Tpool3_-1,libc-2.27.so,--0.97%--ldpc8blocks,PHY,HIGH PHY,LDPC
